Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5ec87d88e96a4333e4a48854af23925d2fd9c57b1b3eb6fa90844e8d6ddb9bd7,2017-06,City of London Police,City of London Police,-0.079283,51.511021,On or near SEETHING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
892e82879286cd18cc01d60ac588f8284cc4d151d5ba5d7a81952962ff53ec9a,2017-06,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
35ce205df2c00ee68a8a78b77a00945e43ddc38284affc39e8a99a0c6de80129,2017-06,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Local resolution
abed80da699832f5ee10e9f1b9a726cddc330b7704bdf8ea2688a7aadcbb53cc,2017-06,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
932915cd9d2cc82e6f8e58d56e3a922ccd0acde127e161237ac45677d99482e0,2017-06,City of London Police,City of London Police,-0.077451,51.515523,On or near WHITE KENNETT STREET,E01000005,City of London 001E,Unable to prosecute suspect
562c32fbe7d52d63cf7ea8143d27589c5fb296c636d5110eb7d6c3cd5a220150,2017-06,City of London Police,City of London Police,-0.090710,51.513132,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
18452a69d8e7cd4af1cf62ccf8c23c11ced5442192dd9bca8d74d2f344241417,2017-06,City of London Police,City of London Police,-0.109155,51.516668,On or near FETTER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
7dd57c842c2bb2458d0df4138ef0bd792b04c33776c4a527be71b13387c38511,2017-06,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Local resolution
63782f486d082f53e1b08066a05919591c80ae8102bfde0f3fcfaa04de9367bd,2017-06,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
9a71b3c8ad079876abb73647fb59e04d676b3739d0cc007de5d5eb3a77b43293,2017-06,City of London Police,City of London Police,-0.089040,51.512745,On or near MANSION HOUSE PLACE,E01032739,City of London 001F,Investigation complete; no suspect identified
ada0251518132ddc477303fd77be429f81fd6f90f8235a297ccca1afbe5fa160,2017-06,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Unable to prosecute suspect
a80cd8654e19112f2b8b21c6e39da487e4fa15e26a33c09cc5b671535dedaa7d,2017-06,City of London Police,City of London Police,-0.079444,51.512678,On or near FENCHURCH BUILDINGS,E01032739,City of London 001F,Investigation complete; no suspect identified
b8665fe984b356a7f1a6790fd025783b0226911e23ba4d7aec554032230cfa74,2017-06,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
ccce201fa49ed1e7ece1198a918472952225a04b61f56f25e937810abbb25051,2017-06,City of London Police,City of London Police,-0.079444,51.512678,On or near FENCHURCH BUILDINGS,E01032739,City of London 001F,Investigation complete; no suspect identified
5d94e3e9799d519886c7d8f7dcda96bd163b3aaa82d912b469608c099b183273,2017-06,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Offender given penalty notice
f8532b1fab25b253d3ee6121827aecd2ebec1c2d21d96fc5c09ab70102e1ca14,2017-06,City of London Police,City of London Police,-0.086393,51.510894,On or near EASTCHEAP,E01032739,City of London 001F,Offender given a caution
9f7481605e1f174121ab435dc6309872e7583a0cf155bc7ab55f4524e86ede00,2017-06,City of London Police,City of London Police,-0.098777,51.512526,On or near KNIGHTRIDER STREET,E01032739,City of London 001F,Suspect charged
581c62389755ea62a0ee01d3c1f28b5fc005f24077693df0d9b9c63422ee9400,2017-06,City of London Police,City of London Police,-0.073065,51.511180,On or near GOODMAN'S YARD,E01000005,City of London 001E,Investigation complete; no suspect identified
4eef7a81c0b15d2183844d90c3950fc7e0ee638f96da69443eaa1a39caf081bb,2017-06,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
ae443cca7064505f0c7c84fc0092674f9c3535157ab4c7a2b403f8fe63bfa606,2017-06,City of London Police,City of London Police,-0.085355,51.510563,On or near PUDDING LANE,E01032739,City of London 001F,Suspect charged
