OA,Mixed,Asian,Black,Other,White
E00000001,0.05,0.03,0.0,0.02,0.9
E00000003,0.04,0.1,0.01,0.02,0.83
E00000005,0.03,0.07,0.01,0.01,0.87
E00000007,0.02,0.16,0.0,0.05,0.78
E00000010,0.03,0.12,0.05,0.02,0.79
E00000012,0.02,0.1,0.05,0.02,0.81
E00000013,0.01,0.11,0.05,0.01,0.83
E00000014,0.03,0.1,0.05,0.02,0.81
E00000016,0.05,0.05,0.0,0.01,0.89
E00000017,0.05,0.06,0.0,0.0,0.88
E00000018,0.01,0.05,0.0,0.0,0.93
E00000019,0.04,0.06,0.01,0.01,0.87
E00000020,0.06,0.08,0.0,0.01,0.85
E00000021,0.02,0.09,0.01,0.0,0.87
E00000022,0.08,0.13,0.02,0.03,0.74
E00000023,0.04,0.13,0.01,0.02,0.8
E00000024,0.03,0.11,0.01,0.02,0.83
E00000025,0.03,0.07,0.01,0.01,0.89
E00000026,0.03,0.11,0.02,0.02,0.82
E00000027,0.03,0.11,0.03,0.02,0.82
E00000028,0.02,0.15,0.03,0.04,0.75
E00000029,0.06,0.25,0.03,0.07,0.59
E00000030,0.03,0.11,0.1,0.04,0.72
E00000031,0.12,0.13,0.04,0.08,0.63
E00000032,0.06,0.47,0.17,0.03,0.29
E00000035,0.04,0.16,0.01,0.04,0.77
E00000037,0.03,0.61,0.14,0.01,0.2
E00000038,0.02,0.66,0.04,0.02,0.27
E00000039,0.09,0.26,0.39,0.03,0.22
E00000040,0.03,0.36,0.26,0.01,0.34
E00000041,0.03,0.61,0.14,0.03,0.2
E00000042,0.05,0.27,0.2,0.0,0.48
E00000043,0.09,0.15,0.39,0.01,0.35
E00000045,0.08,0.26,0.3,0.01,0.35
E00000046,0.06,0.37,0.3,0.01,0.26
E00000048,0.06,0.16,0.35,0.04,0.38
E00000049,0.03,0.52,0.08,0.03,0.33
E00000050,0.04,0.28,0.38,0.03,0.27
E00000051,0.03,0.65,0.08,0.06,0.18
E00000052,0.04,0.3,0.23,0.02,0.4
E00000053,0.04,0.57,0.1,0.02,0.27
E00000054,0.04,0.57,0.15,0.01,0.24
E00000055,0.03,0.53,0.09,0.02,0.33
E00000056,0.03,0.3,0.37,0.05,0.25
E00000057,0.11,0.27,0.32,0.02,0.27
E00000059,0.02,0.37,0.26,0.0,0.34
E00000060,0.04,0.46,0.03,0.09,0.37
E00000061,0.04,0.27,0.24,0.06,0.39
E00000062,0.04,0.39,0.24,0.04,0.29
E00000063,0.06,0.46,0.15,0.07,0.26
E00000064,0.02,0.67,0.06,0.05,0.2
E00000065,0.03,0.49,0.18,0.02,0.28
E00000066,0.02,0.66,0.1,0.01,0.21
E00000067,0.06,0.41,0.18,0.03,0.32
E00000068,0.01,0.63,0.15,0.04,0.18
E00000069,0.07,0.26,0.41,0.01,0.25
E00000070,0.03,0.04,0.19,0.0,0.74
E00000071,0.03,0.1,0.13,0.02,0.71
E00000072,0.04,0.01,0.23,0.01,0.71
E00000073,0.04,0.1,0.21,0.02,0.63
E00000074,0.03,0.11,0.17,0.02,0.66
E00000075,0.01,0.08,0.16,0.0,0.75
E00000076,0.04,0.13,0.19,0.0,0.64
E00000077,0.03,0.13,0.18,0.01,0.65
E00000078,0.04,0.03,0.2,0.02,0.71
E00000079,0.03,0.08,0.17,0.0,0.73
E00000080,0.04,0.07,0.23,0.03,0.63
E00000081,0.04,0.06,0.17,0.01,0.73
E00000082,0.04,0.06,0.24,0.0,0.66
E00000083,0.02,0.05,0.19,0.01,0.73
E00000084,0.02,0.04,0.19,0.01,0.73
E00000085,0.02,0.08,0.18,0.0,0.72
E00000086,0.03,0.05,0.13,0.03,0.75
E00000087,0.07,0.04,0.18,0.0,0.71
E00000088,0.04,0.11,0.12,0.01,0.72
E00000089,0.04,0.07,0.15,0.01,0.73
E00000090,0.04,0.09,0.12,0.01,0.75
E00000091,0.04,0.08,0.22,0.02,0.65
E00000092,0.03,0.04,0.15,0.0,0.78
E00000093,0.04,0.18,0.25,0.0,0.52
E00000094,0.05,0.09,0.16,0.0,0.71
E00000095,0.03,0.05,0.26,0.01,0.65
E00000096,0.04,0.07,0.17,0.0,0.73
E00000097,0.03,0.07,0.15,0.0,0.75
E00000098,0.05,0.04,0.13,0.02,0.77
E00000099,0.03,0.06,0.12,0.01,0.78
E00000100,0.03,0.04,0.18,0.02,0.73
E00000101,0.02,0.2,0.25,0.03,0.49
E00000102,0.05,0.22,0.22,0.0,0.51
E00000103,0.04,0.3,0.1,0.01,0.55
E00000104,0.05,0.17,0.14,0.03,0.61
E00000106,0.02,0.31,0.17,0.04,0.46
E00000107,0.04,0.23,0.14,0.0,0.6
E00000108,0.07,0.14,0.18,0.06,0.55
E00000109,0.05,0.29,0.16,0.03,0.48
E00000110,0.04,0.16,0.1,0.02,0.67
E00000111,0.05,0.16,0.21,0.01,0.57
E00000112,0.06,0.2,0.18,0.01,0.55
E00000113,0.05,0.04,0.17,0.01,0.75
E00000114,0.02,0.08,0.25,0.0,0.65
E00000115,0.03,0.25,0.13,0.02,0.57
E00000116,0.09,0.17,0.13,0.01,0.6
E00000117,0.09,0.1,0.16,0.0,0.65
E00000118,0.05,0.18,0.16,0.02,0.59
E00000119,0.04,0.17,0.19,0.02,0.59
E00000120,0.02,0.09,0.24,0.0,0.65
E00000121,0.05,0.29,0.27,0.0,0.38
E00000122,0.07,0.11,0.17,0.01,0.65
E00000123,0.03,0.13,0.19,0.01,0.64
E00000124,0.04,0.07,0.24,0.01,0.64
E00000125,0.03,0.17,0.18,0.03,0.6
E00000126,0.04,0.18,0.22,0.02,0.54
E00000127,0.06,0.26,0.14,0.01,0.52
E00000128,0.06,0.09,0.17,0.03,0.65
E00000129,0.03,0.15,0.12,0.0,0.69
E00000130,0.04,0.12,0.21,0.03,0.59
E00000131,0.03,0.02,0.2,0.01,0.74
E00000132,0.05,0.1,0.16,0.01,0.69
E00000133,0.05,0.11,0.16,0.0,0.68
E00000134,0.06,0.14,0.13,0.0,0.67
E00000135,0.02,0.2,0.1,0.01,0.66
E00000136,0.07,0.28,0.12,0.03,0.5
E00000137,0.03,0.17,0.17,0.02,0.62
E00000138,0.04,0.1,0.16,0.0,0.7
E00000139,0.03,0.08,0.2,0.0,0.71
E00000140,0.03,0.16,0.2,0.01,0.6
E00000141,0.07,0.01,0.2,0.06,0.65
E00000142,0.08,0.08,0.15,0.01,0.68
E00000143,0.03,0.22,0.19,0.04,0.52
E00000144,0.02,0.31,0.07,0.0,0.6
E00000145,0.02,0.1,0.06,0.01,0.8
E00000146,0.09,0.3,0.09,0.01,0.5
E00000147,0.02,0.19,0.15,0.02,0.63
E00000148,0.03,0.07,0.07,0.03,0.81
E00000149,0.05,0.14,0.27,0.03,0.52
E00000150,0.02,0.16,0.07,0.02,0.72
E00000151,0.03,0.33,0.16,0.03,0.44
E00000152,0.02,0.26,0.13,0.04,0.54
E00000153,0.06,0.13,0.14,0.02,0.65
E00000154,0.06,0.24,0.19,0.04,0.48
E00000155,0.03,0.25,0.16,0.02,0.54
E00000156,0.02,0.07,0.1,0.0,0.8
E00000157,0.07,0.12,0.2,0.02,0.6
E00000158,0.07,0.14,0.12,0.0,0.67
E00000159,0.06,0.12,0.17,0.0,0.64
E00000160,0.06,0.03,0.1,0.0,0.8
E00000161,0.04,0.12,0.24,0.01,0.58
E00000162,0.07,0.25,0.13,0.0,0.56
E00000163,0.07,0.08,0.24,0.0,0.61
E00000164,0.03,0.09,0.31,0.01,0.56
E00000165,0.06,0.1,0.17,0.04,0.64
E00000166,0.12,0.08,0.19,0.02,0.57
E00000167,0.02,0.2,0.08,0.01,0.7
E00000168,0.05,0.05,0.18,0.0,0.71
E00000169,0.03,0.03,0.17,0.01,0.77
E00000170,0.02,0.06,0.19,0.01,0.73
E00000171,0.01,0.04,0.12,0.0,0.82
E00000172,0.03,0.04,0.12,0.0,0.82
E00000173,0.03,0.11,0.18,0.01,0.66
E00000174,0.03,0.11,0.18,0.01,0.68
E00000175,0.09,0.04,0.3,0.01,0.57
E00000176,0.02,0.07,0.17,0.0,0.73
E00000177,0.02,0.07,0.16,0.03,0.72
E00000178,0.02,0.17,0.22,0.01,0.59
E00000179,0.01,0.18,0.23,0.0,0.58
E00000180,0.04,0.26,0.23,0.0,0.47
E00000181,0.04,0.01,0.17,0.0,0.77
E00000182,0.03,0.08,0.08,0.01,0.8
E00000183,0.04,0.06,0.07,0.01,0.81
E00000184,0.02,0.02,0.06,0.0,0.9
E00000185,0.03,0.03,0.06,0.01,0.87
E00000186,0.01,0.09,0.06,0.0,0.83
E00000187,0.01,0.03,0.3,0.01,0.65
E00000188,0.02,0.03,0.05,0.0,0.9
E00000189,0.03,0.07,0.08,0.01,0.81
E00000190,0.03,0.03,0.1,0.0,0.84
E00000191,0.01,0.13,0.03,0.01,0.82
E00000192,0.06,0.07,0.11,0.0,0.75
E00000193,0.06,0.07,0.06,0.0,0.82
E00000194,0.02,0.04,0.11,0.01,0.83
E00000195,0.04,0.04,0.08,0.01,0.82
E00000196,0.04,0.03,0.08,0.01,0.83
E00000197,0.04,0.05,0.12,0.0,0.79
E00000198,0.05,0.02,0.19,0.02,0.74
E00000199,0.07,0.1,0.31,0.02,0.51
E00000200,0.04,0.04,0.21,0.02,0.69
E00000201,0.06,0.36,0.23,0.01,0.33
E00000202,0.03,0.1,0.19,0.03,0.65
E00000203,0.04,0.05,0.29,0.01,0.61
E00000204,0.03,0.11,0.17,0.0,0.69
E00000205,0.07,0.18,0.17,0.04,0.54
E00000206,0.09,0.16,0.2,0.03,0.53
E00000207,0.03,0.13,0.22,0.0,0.63
E00000208,0.02,0.09,0.15,0.02,0.72
E00000209,0.05,0.02,0.16,0.0,0.77
E00000210,0.02,0.23,0.16,0.01,0.58
E00000211,0.05,0.23,0.18,0.03,0.52
E00000212,0.04,0.1,0.29,0.01,0.56
E00000213,0.07,0.11,0.22,0.02,0.57
E00000214,0.04,0.04,0.2,0.02,0.7
E00000215,0.05,0.09,0.26,0.0,0.6
E00000216,0.03,0.16,0.15,0.04,0.63
E00000217,0.05,0.11,0.17,0.04,0.63
E00000218,0.02,0.19,0.13,0.02,0.65
E00000219,0.05,0.02,0.14,0.01,0.79
E00000220,0.1,0.28,0.21,0.01,0.4
E00000221,0.04,0.04,0.1,0.03,0.79
E00000222,0.04,0.18,0.22,0.01,0.56
E00000223,0.05,0.22,0.24,0.03,0.46
E00000224,0.1,0.04,0.25,0.01,0.6
E00000225,0.03,0.21,0.17,0.02,0.58
E00000226,0.03,0.11,0.19,0.01,0.66
E00000227,0.03,0.33,0.11,0.02,0.5
E00000228,0.06,0.32,0.14,0.0,0.48
E00000229,0.07,0.22,0.29,0.03,0.4
E00000230,0.03,0.25,0.19,0.02,0.52
E00000231,0.02,0.25,0.09,0.03,0.61
E00000232,0.04,0.28,0.19,0.01,0.48
E00000234,0.05,0.25,0.18,0.02,0.49
E00000235,0.08,0.11,0.35,0.03,0.43
E00000236,0.02,0.19,0.16,0.01,0.62
E00000237,0.02,0.24,0.16,0.02,0.55
E00000238,0.07,0.16,0.37,0.05,0.34
E00000239,0.09,0.1,0.4,0.03,0.38
E00000240,0.06,0.07,0.38,0.04,0.45
E00000241,0.04,0.15,0.34,0.02,0.45
E00000242,0.07,0.18,0.35,0.03,0.37
E00000243,0.09,0.12,0.47,0.04,0.27
E00000244,0.07,0.16,0.32,0.05,0.4
E00000245,0.07,0.12,0.45,0.03,0.33
E00000246,0.05,0.49,0.16,0.04,0.25
E00000247,0.05,0.44,0.18,0.04,0.3
E00000248,0.05,0.13,0.39,0.05,0.38
E00000249,0.04,0.25,0.21,0.04,0.46
E00000250,0.05,0.21,0.32,0.02,0.4
E00000251,0.05,0.11,0.36,0.09,0.4
E00000252,0.02,0.35,0.13,0.0,0.49
E00000253,0.02,0.25,0.29,0.01,0.43
E00000254,0.05,0.17,0.45,0.04,0.3
E00000255,0.08,0.25,0.27,0.01,0.38
E00000256,0.04,0.22,0.4,0.06,0.27
E00000257,0.05,0.25,0.15,0.02,0.53
E00000258,0.06,0.16,0.44,0.02,0.31
E00000259,0.06,0.2,0.32,0.03,0.4
E00000260,0.08,0.28,0.2,0.03,0.42
E00000261,0.06,0.22,0.24,0.0,0.48
E00000263,0.06,0.16,0.32,0.03,0.43
E00000264,0.04,0.13,0.51,0.01,0.32
E00000265,0.04,0.05,0.35,0.0,0.55
E00000266,0.04,0.06,0.2,0.01,0.69
E00000267,0.04,0.1,0.2,0.02,0.65
E00000268,0.03,0.03,0.14,0.01,0.79
E00000269,0.04,0.07,0.23,0.03,0.62
E00000270,0.04,0.12,0.18,0.0,0.65
E00000271,0.04,0.06,0.24,0.0,0.66
E00000272,0.02,0.02,0.18,0.01,0.77
E00000273,0.04,0.08,0.15,0.01,0.71
E00000274,0.03,0.03,0.19,0.02,0.73
E00000275,0.03,0.07,0.14,0.0,0.76
E00000276,0.05,0.06,0.19,0.01,0.69
E00000277,0.03,0.09,0.33,0.01,0.55
E00000278,0.04,0.12,0.25,0.0,0.59
E00000279,0.07,0.06,0.32,0.01,0.53
E00000280,0.03,0.04,0.24,0.01,0.68
E00000282,0.05,0.08,0.14,0.02,0.71
E00000283,0.09,0.04,0.22,0.01,0.64
E00000284,0.06,0.07,0.09,0.01,0.76
E00000285,0.05,0.07,0.19,0.01,0.68
E00000286,0.03,0.12,0.22,0.01,0.63
E00000287,0.04,0.08,0.21,0.01,0.67
E00000288,0.06,0.07,0.24,0.01,0.62
E00000289,0.02,0.02,0.24,0.01,0.71
E00000290,0.06,0.04,0.27,0.02,0.6
E00000291,0.03,0.13,0.1,0.0,0.74
E00000292,0.02,0.04,0.2,0.01,0.73
E00000293,0.06,0.03,0.11,0.01,0.8
E00000294,0.04,0.05,0.18,0.01,0.73
E00000295,0.02,0.05,0.18,0.0,0.74
E00000296,0.05,0.07,0.14,0.0,0.73
E00000297,0.03,0.09,0.16,0.0,0.72
E00000298,0.05,0.1,0.16,0.0,0.7
E00000299,0.03,0.05,0.16,0.0,0.76
E00000300,0.02,0.12,0.18,0.0,0.68
E00000301,0.03,0.05,0.32,0.01,0.59
E00000302,0.02,0.06,0.15,0.02,0.75
E00000303,0.03,0.08,0.15,0.02,0.73
E00000304,0.01,0.06,0.14,0.02,0.78
E00000305,0.04,0.04,0.24,0.0,0.68
E00000306,0.01,0.09,0.11,0.0,0.78
E00000307,0.02,0.03,0.25,0.01,0.69
E00000308,0.02,0.1,0.26,0.02,0.59
E00000309,0.05,0.04,0.28,0.0,0.62
E00000310,0.06,0.04,0.21,0.01,0.68
E00000311,0.03,0.03,0.31,0.0,0.62
E00000312,0.04,0.03,0.26,0.0,0.66
E00000313,0.03,0.11,0.29,0.0,0.56
E00000314,0.04,0.05,0.17,0.0,0.75
E00000315,0.06,0.05,0.14,0.0,0.74
E00000316,0.03,0.09,0.27,0.01,0.6
E00000317,0.06,0.03,0.25,0.0,0.66
E00000318,0.01,0.05,0.25,0.0,0.69
E00000319,0.01,0.07,0.17,0.0,0.74
E00000320,0.03,0.13,0.26,0.0,0.58
E00000321,0.02,0.07,0.17,0.01,0.73
E00000322,0.02,0.08,0.17,0.0,0.73
E00000323,0.02,0.02,0.12,0.0,0.84
E00000324,0.05,0.09,0.09,0.03,0.74
E00000325,0.05,0.04,0.18,0.01,0.72
E00000326,0.03,0.09,0.25,0.0,0.64
E00000327,0.03,0.07,0.23,0.02,0.67
E00000328,0.03,0.07,0.29,0.01,0.61
E00000329,0.07,0.04,0.23,0.01,0.66
E00000330,0.07,0.03,0.27,0.01,0.62
E00000331,0.07,0.35,0.11,0.02,0.44
E00000332,0.02,0.43,0.12,0.03,0.4
E00000333,0.01,0.42,0.14,0.0,0.43
E00000334,0.06,0.37,0.04,0.01,0.52
E00000335,0.04,0.43,0.09,0.02,0.41
E00000336,0.06,0.48,0.07,0.02,0.37
E00000337,0.1,0.43,0.12,0.0,0.34
E00000338,0.06,0.41,0.07,0.02,0.44
E00000339,0.02,0.46,0.05,0.02,0.45
E00000340,0.05,0.43,0.08,0.02,0.42
E00000341,0.04,0.42,0.06,0.01,0.47
E00000342,0.04,0.4,0.08,0.02,0.45
E00000343,0.04,0.35,0.08,0.02,0.51
E00000344,0.02,0.56,0.07,0.03,0.32
E00000345,0.06,0.48,0.04,0.01,0.42
E00000346,0.01,0.6,0.05,0.02,0.34
E00000347,0.05,0.36,0.1,0.03,0.47
E00000348,0.03,0.42,0.14,0.03,0.37
E00000349,0.03,0.49,0.09,0.01,0.37
E00000350,0.05,0.48,0.07,0.01,0.4
E00000351,0.04,0.4,0.15,0.03,0.38
E00000352,0.08,0.4,0.14,0.04,0.35
E00000353,0.02,0.51,0.12,0.02,0.34
E00000354,0.04,0.28,0.08,0.05,0.55
E00000355,0.02,0.25,0.09,0.04,0.6
E00000356,0.03,0.4,0.08,0.01,0.48
E00000357,0.03,0.38,0.13,0.02,0.44
E00000358,0.03,0.23,0.24,0.0,0.5
E00000360,0.06,0.13,0.22,0.02,0.58
E00000361,0.02,0.11,0.23,0.02,0.64
E00000362,0.08,0.09,0.13,0.0,0.7
E00000363,0.03,0.13,0.15,0.01,0.67
E00000364,0.01,0.03,0.17,0.01,0.78
E00000365,0.01,0.14,0.31,0.0,0.54
E00000366,0.05,0.07,0.14,0.0,0.74
E00000367,0.03,0.1,0.23,0.01,0.64
E00000368,0.05,0.15,0.15,0.01,0.65
E00000369,0.01,0.13,0.17,0.02,0.67
E00000370,0.06,0.12,0.15,0.0,0.66
E00000371,0.06,0.06,0.18,0.01,0.7
E00000372,0.07,0.04,0.16,0.01,0.73
E00000373,0.02,0.07,0.18,0.01,0.73
E00000374,0.05,0.05,0.16,0.01,0.73
E00000375,0.05,0.06,0.19,0.0,0.7
E00000376,0.01,0.07,0.1,0.0,0.81
E00000377,0.05,0.05,0.15,0.02,0.73
E00000378,0.03,0.13,0.21,0.01,0.62
E00000379,0.06,0.04,0.14,0.01,0.75
E00000380,0.04,0.04,0.16,0.01,0.74
E00000381,0.08,0.08,0.17,0.01,0.66
E00000382,0.04,0.1,0.13,0.02,0.69
E00000383,0.06,0.03,0.16,0.01,0.75
E00000384,0.02,0.04,0.15,0.01,0.79
E00000385,0.03,0.08,0.18,0.01,0.69
E00000386,0.05,0.1,0.12,0.0,0.73
E00000387,0.05,0.1,0.2,0.0,0.65
E00000388,0.01,0.15,0.27,0.0,0.56
E00000389,0.03,0.07,0.19,0.01,0.71
E00000390,0.04,0.11,0.1,0.0,0.75
E00000391,0.04,0.09,0.13,0.03,0.71
E00000392,0.05,0.16,0.18,0.02,0.58
E00000393,0.01,0.09,0.16,0.0,0.74
E00000394,0.03,0.1,0.14,0.05,0.69
E00000395,0.04,0.12,0.21,0.01,0.62
E00000396,0.02,0.07,0.18,0.01,0.71
E00000397,0.05,0.07,0.13,0.0,0.75
E00000398,0.03,0.07,0.23,0.01,0.66
E00000399,0.02,0.04,0.17,0.02,0.75
E00000400,0.03,0.11,0.19,0.03,0.65
E00000401,0.04,0.08,0.15,0.02,0.72
E00000402,0.04,0.07,0.24,0.01,0.65
E00000403,0.03,0.04,0.27,0.0,0.67
E00000404,0.06,0.08,0.14,0.02,0.7
E00000405,0.04,0.08,0.15,0.02,0.7
E00000406,0.05,0.11,0.16,0.0,0.68
E00000407,0.05,0.05,0.17,0.01,0.73
E00000408,0.06,0.05,0.18,0.01,0.71
E00000409,0.02,0.08,0.22,0.01,0.68
E00000410,0.02,0.06,0.25,0.01,0.65
E00000411,0.07,0.04,0.3,0.01,0.59
E00000412,0.03,0.12,0.09,0.01,0.75
E00000413,0.05,0.1,0.16,0.0,0.69
E00000414,0.05,0.07,0.18,0.02,0.68
E00000415,0.07,0.08,0.13,0.0,0.72
E00000416,0.03,0.07,0.19,0.01,0.7
E00000417,0.04,0.05,0.14,0.0,0.78
E00000418,0.06,0.1,0.11,0.02,0.71
E00000419,0.06,0.08,0.24,0.0,0.61
E00000420,0.02,0.07,0.17,0.01,0.72
E00000421,0.03,0.11,0.3,0.01,0.54
E00000422,0.03,0.08,0.23,0.0,0.67
E00000423,0.05,0.1,0.18,0.01,0.66
E00000424,0.04,0.09,0.26,0.0,0.59
E00000425,0.04,0.06,0.14,0.01,0.74
E00000426,0.05,0.03,0.3,0.0,0.62
E00000427,0.04,0.15,0.29,0.01,0.52
E00000428,0.0,0.25,0.32,0.01,0.43
E00000429,0.03,0.09,0.33,0.03,0.51
E00000430,0.04,0.06,0.36,0.02,0.52
E00000431,0.05,0.04,0.34,0.0,0.57
E00000432,0.06,0.04,0.22,0.01,0.68
E00000433,0.06,0.05,0.24,0.0,0.65
E00000434,0.03,0.18,0.29,0.02,0.49
E00000435,0.04,0.07,0.3,0.02,0.57
E00000436,0.07,0.04,0.31,0.01,0.57
E00000437,0.02,0.16,0.31,0.06,0.45
E00000438,0.06,0.08,0.28,0.03,0.55
E00000439,0.04,0.07,0.13,0.01,0.75
E00000440,0.04,0.06,0.15,0.02,0.74
E00000441,0.05,0.05,0.23,0.01,0.67
E00000442,0.06,0.04,0.12,0.02,0.78
E00000443,0.04,0.01,0.19,0.0,0.76
E00000444,0.04,0.15,0.22,0.02,0.57
E00000445,0.02,0.07,0.2,0.0,0.7
E00000446,0.03,0.11,0.18,0.0,0.68
E00000447,0.06,0.0,0.28,0.0,0.65
E00000448,0.03,0.0,0.2,0.0,0.77
E00000449,0.01,0.12,0.14,0.16,0.59
E00000450,0.03,0.07,0.31,0.0,0.59
E00000451,0.04,0.18,0.29,0.01,0.48
E00000452,0.07,0.13,0.4,0.02,0.39
E00000453,0.04,0.2,0.16,0.04,0.55
E00000454,0.07,0.09,0.33,0.03,0.48
E00000455,0.06,0.22,0.37,0.01,0.35
E00000456,0.05,0.15,0.28,0.04,0.48
E00000457,0.03,0.16,0.54,0.01,0.26
E00000458,0.04,0.12,0.39,0.0,0.45
E00000459,0.04,0.05,0.37,0.01,0.54
E00000460,0.05,0.03,0.5,0.01,0.42
E00000461,0.02,0.08,0.34,0.03,0.53
E00000462,0.04,0.09,0.28,0.02,0.56
E00000463,0.02,0.06,0.21,0.0,0.71
E00000464,0.02,0.06,0.22,0.04,0.66
E00000465,0.05,0.16,0.29,0.0,0.5
E00000466,0.04,0.11,0.26,0.0,0.58
E00000467,0.03,0.1,0.31,0.03,0.53
E00000468,0.09,0.19,0.35,0.0,0.36
E00000469,0.05,0.15,0.48,0.02,0.3
E00000470,0.04,0.22,0.3,0.03,0.41
E00000471,0.02,0.13,0.3,0.01,0.54
E00000472,0.06,0.09,0.4,0.01,0.44
E00000474,0.05,0.15,0.37,0.04,0.4
E00000475,0.05,0.15,0.34,0.01,0.45
E00000476,0.07,0.11,0.44,0.02,0.36
E00000477,0.06,0.16,0.45,0.0,0.33
E00000478,0.03,0.34,0.29,0.03,0.31
E00000479,0.07,0.17,0.41,0.04,0.31
E00000480,0.09,0.06,0.29,0.01,0.55
E00000481,0.07,0.16,0.11,0.0,0.66
E00000482,0.07,0.16,0.13,0.02,0.62
E00000483,0.04,0.17,0.18,0.01,0.61
E00000484,0.06,0.11,0.1,0.01,0.72
E00000485,0.02,0.12,0.14,0.04,0.69
E00000486,0.07,0.14,0.1,0.03,0.66
E00000487,0.04,0.14,0.12,0.0,0.7
E00000488,0.05,0.09,0.09,0.01,0.75
E00000489,0.03,0.24,0.17,0.02,0.54
E00000490,0.03,0.11,0.11,0.0,0.75
E00000491,0.09,0.12,0.07,0.01,0.7
E00000492,0.06,0.17,0.14,0.01,0.63
E00000493,0.05,0.14,0.05,0.02,0.74
E00000494,0.03,0.12,0.16,0.01,0.68
E00000495,0.04,0.13,0.11,0.03,0.69
E00000496,0.01,0.06,0.21,0.0,0.72
E00000497,0.03,0.13,0.22,0.01,0.61
E00000498,0.03,0.06,0.17,0.02,0.72
E00000499,0.03,0.06,0.19,0.0,0.72
E00000500,0.04,0.06,0.16,0.0,0.74
E00000501,0.02,0.15,0.13,0.0,0.7
E00000502,0.01,0.09,0.15,0.0,0.75
E00000503,0.05,0.09,0.12,0.02,0.73
E00000504,0.03,0.18,0.25,0.0,0.53
E00000505,0.05,0.12,0.21,0.0,0.61
E00000506,0.04,0.08,0.13,0.01,0.75
E00000507,0.08,0.04,0.15,0.02,0.71
E00000508,0.05,0.02,0.14,0.01,0.78
E00000509,0.05,0.13,0.12,0.01,0.7
E00000510,0.02,0.15,0.11,0.0,0.71
E00000511,0.12,0.03,0.24,0.02,0.6
E00000512,0.02,0.02,0.3,0.01,0.65
E00000513,0.04,0.09,0.12,0.01,0.76
E00000514,0.03,0.05,0.2,0.02,0.7
E00000515,0.04,0.05,0.38,0.02,0.52
E00000516,0.07,0.08,0.2,0.0,0.64
E00000517,0.03,0.05,0.25,0.01,0.67
E00000518,0.0,0.07,0.11,0.02,0.8
E00000519,0.03,0.09,0.17,0.0,0.72
E00000520,0.05,0.1,0.24,0.01,0.6
E00000521,0.04,0.06,0.22,0.01,0.66
E00000522,0.05,0.02,0.44,0.0,0.49
E00000523,0.01,0.03,0.26,0.02,0.67
E00000524,0.08,0.06,0.24,0.02,0.6
E00000525,0.07,0.04,0.28,0.0,0.63
E00000526,0.03,0.05,0.21,0.02,0.68
E00000527,0.02,0.14,0.17,0.0,0.67
E00000528,0.05,0.0,0.24,0.0,0.7
E00000529,0.04,0.11,0.14,0.0,0.7
E00000530,0.05,0.11,0.27,0.02,0.54
E00000531,0.04,0.07,0.14,0.01,0.75
E00000532,0.04,0.07,0.23,0.01,0.65
E00000533,0.03,0.03,0.09,0.0,0.84
E00000534,0.02,0.05,0.15,0.04,0.75
E00000535,0.05,0.05,0.25,0.01,0.63
E00000536,0.04,0.04,0.27,0.05,0.59
E00000537,0.04,0.09,0.47,0.01,0.4
E00000538,0.02,0.05,0.19,0.02,0.71
E00000539,0.06,0.05,0.18,0.0,0.7
E00000540,0.02,0.1,0.1,0.01,0.78
E00000541,0.07,0.1,0.17,0.01,0.64
E00000542,0.04,0.08,0.37,0.03,0.49
E00000543,0.03,0.11,0.17,0.02,0.67
E00000544,0.04,0.08,0.27,0.02,0.59
E00000545,0.06,0.13,0.22,0.0,0.59
E00000546,0.02,0.22,0.11,0.01,0.64
E00000547,0.02,0.16,0.2,0.01,0.63
E00000548,0.01,0.15,0.21,0.0,0.63
E00000549,0.03,0.16,0.21,0.02,0.57
E00000550,0.06,0.13,0.22,0.0,0.58
E00000551,0.04,0.1,0.19,0.01,0.66
E00000552,0.04,0.16,0.23,0.01,0.56
E00000553,0.03,0.17,0.19,0.01,0.6
E00000554,0.03,0.22,0.24,0.02,0.5
E00000555,0.04,0.19,0.18,0.0,0.58
E00000556,0.04,0.16,0.15,0.0,0.65
E00000557,0.03,0.1,0.21,0.0,0.66
E00000558,0.04,0.09,0.36,0.02,0.48
E00000559,0.07,0.14,0.11,0.0,0.67
E00000560,0.03,0.26,0.18,0.01,0.52
E00000561,0.05,0.24,0.22,0.02,0.47
E00000562,0.04,0.2,0.16,0.03,0.58
E00000563,0.05,0.23,0.05,0.05,0.63
E00000564,0.03,0.18,0.08,0.04,0.67
E00000565,0.05,0.18,0.13,0.03,0.62
E00000566,0.09,0.24,0.25,0.03,0.39
E00000567,0.02,0.24,0.18,0.02,0.55
E00000568,0.04,0.28,0.23,0.04,0.41
E00000569,0.03,0.33,0.1,0.03,0.51
E00000570,0.04,0.24,0.14,0.01,0.57
E00000571,0.05,0.26,0.2,0.03,0.47
E00000572,0.03,0.31,0.14,0.05,0.46
E00000573,0.05,0.29,0.17,0.0,0.48
E00000574,0.06,0.27,0.12,0.02,0.53
E00000575,0.04,0.2,0.15,0.0,0.6
E00000576,0.04,0.15,0.08,0.06,0.68
E00000577,0.06,0.12,0.19,0.03,0.6
E00000578,0.05,0.26,0.04,0.12,0.54
