OA,Mixed,Asian,Black,Other,White
E00021261,0.06,0.18,0.13,0.01,0.62
E00021262,0.05,0.35,0.1,0.02,0.47
E00021263,0.03,0.17,0.07,0.02,0.7
E00021266,0.04,0.09,0.1,0.01,0.75
E00021267,0.03,0.25,0.15,0.01,0.57
E00021268,0.08,0.28,0.08,0.01,0.55
E00021271,0.05,0.16,0.15,0.02,0.62
E00021272,0.06,0.36,0.05,0.02,0.51
E00021273,0.02,0.27,0.04,0.02,0.64
E00021274,0.07,0.28,0.16,0.03,0.47
E00021275,0.08,0.22,0.11,0.05,0.54
E00021277,0.07,0.18,0.13,0.02,0.58
E00021278,0.1,0.34,0.08,0.02,0.49
E00021279,0.04,0.36,0.13,0.02,0.44
E00021280,0.03,0.22,0.11,0.03,0.6
E00021281,0.04,0.24,0.09,0.01,0.61
E00021282,0.06,0.29,0.1,0.01,0.54
E00021285,0.04,0.2,0.09,0.02,0.65
E00021286,0.03,0.16,0.06,0.02,0.73
E00021287,0.08,0.09,0.01,0.0,0.82
E00021288,0.08,0.08,0.01,0.02,0.81
E00021289,0.06,0.45,0.17,0.02,0.3
E00021290,0.04,0.36,0.14,0.02,0.44
E00021291,0.04,0.09,0.02,0.02,0.82
E00021292,0.03,0.38,0.06,0.02,0.51
E00021294,0.03,0.51,0.14,0.03,0.29
E00021295,0.03,0.21,0.06,0.0,0.69
E00021296,0.07,0.07,0.06,0.02,0.79
E00021297,0.05,0.12,0.03,0.03,0.77
E00021298,0.04,0.09,0.02,0.01,0.84
E00021299,0.04,0.27,0.08,0.01,0.61
E00021300,0.05,0.16,0.03,0.01,0.76
E00021301,0.07,0.61,0.1,0.0,0.21
E00021302,0.06,0.32,0.07,0.0,0.53
E00021303,0.03,0.6,0.11,0.01,0.25
E00021304,0.08,0.2,0.07,0.05,0.6
E00021305,0.05,0.17,0.03,0.02,0.73
E00021306,0.06,0.15,0.03,0.01,0.75
E00021307,0.05,0.17,0.05,0.02,0.7
E00021308,0.02,0.36,0.03,0.0,0.58
E00021309,0.02,0.06,0.06,0.0,0.87
E00021310,0.04,0.17,0.08,0.0,0.7
E00021311,0.04,0.45,0.07,0.01,0.42
E00021312,0.05,0.19,0.08,0.01,0.67
E00021313,0.07,0.1,0.11,0.02,0.7
E00021314,0.04,0.08,0.05,0.0,0.83
E00021315,0.01,0.15,0.15,0.02,0.67
E00021316,0.06,0.42,0.07,0.03,0.43
E00021317,0.09,0.06,0.03,0.0,0.81
E00021318,0.07,0.19,0.07,0.01,0.67
E00021319,0.05,0.27,0.12,0.02,0.52
E00021320,0.07,0.11,0.05,0.02,0.76
E00021321,0.01,0.27,0.1,0.01,0.6
E00021322,0.03,0.38,0.08,0.01,0.51
E00021323,0.04,0.39,0.11,0.06,0.4
E00021324,0.04,0.16,0.05,0.0,0.75
E00021325,0.03,0.33,0.14,0.01,0.48
E00021326,0.05,0.51,0.08,0.05,0.3
