Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2d760a53b4ec33dcd36bf44df789e7f75ef5f103c01d123d5dfed2ca92444708,2017-05,City of London Police,City of London Police,-0.073065,51.511180,On or near GOODMAN'S YARD,E01000005,City of London 001E,Investigation complete; no suspect identified
702296f6cb6f7ba74141633ab030b1e7cda70ccb80cce77f1c51c0a551616330,2017-05,City of London Police,City of London Police,-0.090419,51.514917,On or near GRESHAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
0e9fac966cd60a79df80722929021da712377123143134f4612ccfec957d2e33,2017-05,City of London Police,City of London Police,-0.075146,51.513435,On or near Bus/Coach Station,E01000005,City of London 001E,Investigation complete; no suspect identified
b18edba9b42a5e9b74e683137a8ca249d574693fcd4c248c8506a505492c8017,2017-05,City of London Police,City of London Police,-0.088473,51.518374,On or near MOOR PLACE,E01032739,City of London 001F,Investigation complete; no suspect identified
61729d3736e954c9370ced1a70ba35e43252d673af247659e9dac1b4473a2eaf,2017-05,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
c034031f2d6c3af0682ccb62fb9d199367a791113d0ce007a25492550d595c99,2017-05,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
19b99d4c0139b7f40fe25a67912393c51c147fa657fa6e9da70fa7966617aab6,2017-05,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
0f77275539e62f81a7a1a94fc3223950088485b80ea0c11d9d856ae96eac6610,2017-05,City of London Police,City of London Police,-0.101345,51.518709,On or near Parking Area,E01032740,City of London 001G,Investigation complete; no suspect identified
707b3e7658a0426961a162d29cad7abfe4467a31c640536b28d0b73283f6fa8a,2017-05,City of London Police,City of London Police,-0.100202,51.513268,On or near DEAN'S COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
9491521f43a5b6b0cc46fffc3d8241bac77a3199455c2723de51bfcfac4524e1,2017-05,City of London Police,City of London Police,-0.079011,51.509614,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
7ac7b7ce452cc0be447c1e9257b9edc3fb5cc7f9f7a8f19d79ac446c8d46ea67,2017-05,City of London Police,City of London Police,-0.075146,51.513435,On or near Bus/Coach Station,E01000005,City of London 001E,Investigation complete; no suspect identified
6d79eec0d14039c43c275f9fa60a4c0d64104dd1381989ef2f5eefce2a0e36af,2017-05,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
0cc0add41cbf7b38cb6a2de4f1a72966f5fe2012e24262e9ccc88c00c778b318,2017-05,City of London Police,City of London Police,-0.090203,51.511118,On or near SCOTT'S YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
26b1005af6a79834753e6ea2c25c1b7c84ddea20a91eebc5a4d6711455cb2111,2017-05,City of London Police,City of London Police,-0.081938,51.513007,On or near LIME STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
d2b8b960ece52a5196ed486e0e63ea5a1a8dc70e596417b5e5e389a17e4fa695,2017-05,City of London Police,City of London Police,-0.112939,51.518231,On or near SOUTHAMPTON BUILDINGS,E01032740,City of London 001G,Investigation complete; no suspect identified
5931993d3bd9dcd24b0d6a8213a758aab25936dfa19305856f6e68df9bfecb05,2017-05,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Investigation complete; no suspect identified
d4e797a5593df6887430f3b0ca7e45a8b52226c9c44f44356826c527674c304c,2017-05,City of London Police,City of London Police,-0.073065,51.511180,On or near GOODMAN'S YARD,E01000005,City of London 001E,Formal action is not in the public interest
cdb675928ecdf73423661cffdcc1c533505ab2811eb01c4990bd0ab57591bc34,2017-05,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
53eea7401be04e3e2e40162f493fde20fd328e1ef534d69370eb288713e3abbf,2017-05,City of London Police,City of London Police,-0.096561,51.514513,On or near CHEAPSIDE,E01032739,City of London 001F,Formal action is not in the public interest
79a0f62e5ba67a94251a5488e1c5708c079469a25628eea5aff738cde5172338,2017-05,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Investigation complete; no suspect identified
8604c660f145d5937895fd1e9cb0b5ae3e869a4cc4bceabb2c4cd4a2156791da,2017-05,City of London Police,City of London Police,-0.080318,51.520678,On or near PRIMROSE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
9d41fc6683f0ba0a0696f120c43836649d24db55dc6f3d49fc47ee850786e865,2017-05,City of London Police,City of London Police,-0.078779,51.508971,On or near GLOUCESTER COURT,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
72edfe40f1ca9b08fd16e2df36c88a289dbf153bee57f50a77fd28c55c534372,2017-05,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
